Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
126,Gary Harris,ORL,29,6,2,4,26.5,4.2,1.3,4.7,28.6,1.2,3.7,31.8,0.3,0.3,100.0,0.8,1.2,2.0,0.7,0.3,1.2,0.5,3.0,12.2,0.0,0.0,0.3
127,Luka Garza,MIN,25,6,5,1,3.8,3.8,1.2,1.5,77.8,0.3,0.5,66.7,1.2,1.3,87.5,0.2,0.7,0.8,0.2,0.0,0.0,0.0,0.0,5.1,0.0,0.0,3.2
128,Isaiah Jackson,IND,22,15,6,9,10.2,3.8,1.5,2.9,53.5,0.0,0.0,0.0,0.7,1.2,61.1,1.4,1.8,3.2,0.5,0.3,0.2,0.9,1.6,11.3,0.0,0.0,-0.7
129,Luke Kornet,BOS,28,10,9,1,11.8,3.7,1.3,1.9,68.4,0.0,0.0,0.0,1.1,1.3,84.6,1.7,2.2,3.9,0.5,0.6,0.0,0.5,0.9,10.0,0.0,0.0,-0.3
130,Bones Hyland,LAC,23,3,0,3,4.0,3.7,1.0,2.3,42.9,0.3,1.7,20.0,1.3,1.3,100.0,0.0,0.7,0.7,1.3,0.3,0.0,0.0,0.0,6.1,0.0,0.0,0.7
130,Danilo Gallinari,MIL,35,3,1,2,12.4,3.7,1.3,2.7,50.0,0.0,0.7,0.0,1.0,1.3,75.0,0.3,2.7,3.0,0.7,0.3,0.0,0.0,0.0,7.9,0.0,0.0,-2.0
130,Dean Wade,CLE,27,3,0,3,21.0,3.7,1.3,4.3,30.8,1.0,3.3,30.0,0.0,0.0,0.0,0.3,1.7,2.0,1.7,0.7,0.3,0.7,1.3,10.9,0.0,0.0,-4.3
133,Grayson Allen,PHX,28,2,0,2,21.3,3.5,0.5,2.5,20.0,0.5,2.5,20.0,2.0,2.0,100.0,1.0,3.0,4.0,1.0,1.5,0.5,0.0,2.0,9.8,0.0,0.0,-1.5
133,Josh Okogie,PHX,25,4,0,4,7.3,3.5,1.3,2.3,55.6,0.3,0.8,33.3,0.8,1.5,50.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.8,6.5,0.0,0.0,1.3
133,Reggie Jackson,DEN,34,12,7,5,9.8,3.5,1.3,4.0,33.3,0.7,1.9,34.8,0.2,0.2,100.0,0.2,1.1,1.3,1.0,0.7,0.2,0.1,1.0,6.6,0.0,0.0,0.2
136,Sam Merrill,CLE,28,10,4,6,12.5,3.3,1.0,2.9,34.5,1.0,2.7,37.0,0.3,0.3,100.0,0.2,1.0,1.2,0.9,0.0,0.0,0.0,0.9,6.1,0.0,0.0,-1.1
137,Jaden Hardy,DAL,21,12,9,3,6.3,3.3,1.2,3.3,35.9,0.4,1.3,31.3,0.5,0.8,66.7,0.1,0.6,0.7,1.0,0.3,0.3,0.0,0.8,6.0,0.0,0.0,-2.2
138,Mason Plumlee,LAC,34,6,2,4,11.0,3.2,1.2,3.0,38.9,0.0,0.0,0.0,0.8,1.3,62.5,1.2,2.2,3.3,0.7,0.3,0.5,0.3,2.2,10.3,0.0,0.0,-1.7
139,Anthony Black,ORL,20,2,2,0,5.4,3.0,1.5,3.5,42.9,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.5,6.7,0.0,0.0,-4.0
139,Chuma Okeke,ORL,25,2,2,0,4.9,3.0,1.0,1.5,66.7,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.8,0.0,0.0,-4.0
139,Daniel Theis,LAC,32,1,0,1,4.4,3.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,2.0
139,Spencer Dinwiddie,LAL,31,5,1,4,14.6,3.0,1.0,2.8,35.7,0.4,1.6,25.0,0.6,1.2,50.0,0.2,1.2,1.4,1.6,0.2,0.4,0.2,1.4,8.7,0.0,0.0,-3.8
143,Justin Holiday,DEN,35,12,7,5,12.5,2.9,0.9,2.9,31.4,0.9,2.4,37.9,0.2,0.3,50.0,0.1,1.6,1.7,0.3,0.3,0.5,0.0,1.3,6.7,0.0,0.0,2.0
144,AJ Green,MIL,24,6,2,4,11.2,2.8,1.0,2.7,37.5,0.3,1.8,18.2,0.5,0.5,100.0,0.0,1.5,1.5,0.3,0.2,0.0,0.0,1.5,5.0,0.0,0.0,-0.3
144,Amir Coffey,LAC,26,6,2,4,18.7,2.8,1.2,3.7,31.8,0.5,1.8,27.3,0.0,0.0,0.0,0.3,1.3,1.7,0.3,0.8,0.3,0.2,1.0,6.0,0.0,0.0,-6.2
144,Mitchell Robinson,NYK,26,6,4,2,19.1,2.8,1.2,2.3,50.0,0.0,0.0,0.0,0.5,1.3,37.5,3.8,3.0,6.8,0.5,0.5,1.0,1.2,2.5,17.8,0.0,0.0,5.0
147,Georges Niang,CLE,30,10,4,6,12.1,2.8,0.9,4.1,22.0,0.3,2.3,13.0,0.7,0.8,87.5,0.3,0.9,1.2,0.4,0.7,0.4,0.2,1.8,5.9,0.0,0.0,-2.4
148,Duncan Robinson,MIA,30,5,1,4,11.9,2.6,1.0,3.2,31.3,0.6,2.6,23.1,0.0,0.0,0.0,0.0,1.0,1.0,1.2,1.0,0.4,0.0,1.2,5.8,0.0,0.0,-9.2
149,Jett Howard,ORL,20,2,2,0,4.9,2.5,1.0,1.5,66.7,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,2.9,0.0,0.0,-4.0
150,Andre Jackson Jr.,MIL,22,5,1,4,11.9,2.4,1.0,2.2,45.5,0.4,1.2,33.3,0.0,0.0,0.0,1.0,1.2,2.2,2.0,0.6,1.0,0.2,2.0,11.0,0.0,0.0,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Julian Strawther,DEN,22,3,1,2,5.3,2.3,0.7,2.0,33.3,0.3,1.3,25.0,0.7,1.3,50.0,0.0,0.7,0.7,0.0,0.3,0.3,0.0,1.0,3.8,0.0,0.0,-4.0
